Trial,Cumulative Reward,Cumulative Regret
2620,10203.726023789783,276.27397621021066
2621,10206.912066902401,277.08793309759204
2622,10210.457642967234,277.54235703276004
2623,10215.430556905341,276.5694430946536
2624,10217.903124556578,278.0968754434158
2625,10223.451843942503,276.5481560574922
2626,10227.434253882333,276.5657461176627
2627,10231.825778705994,276.1742212940021
2628,10236.220841732897,275.7791582670996
2629,10240.132355324053,275.86764467594327
2630,10244.05677463592,275.94322536407583
2631,10247.260984340515,276.73901565947995
2632,10251.592757945995,276.40724205399994
2633,10256.272072694444,275.7279273055497
2634,10261.060023184125,274.93997681586916
2635,10266.282879625247,273.7171203747474
2636,10269.541245726974,274.45875427302076
2637,10274.709947190257,273.2900528097385
2638,10277.088600797544,274.91139920245035
2639,10280.653398827284,275.34660117270977
2640,10284.836937009808,275.1630629901861
2641,10287.755554805555,276.24444519443864
2642,10292.852456143308,275.1475438566869
2643,10297.643908069385,274.35609193060856
2644,10300.33768383174,275.66231616825434
2645,10305.546297993176,274.45370200681725
2646,10309.736535816657,274.2634641833361
2647,10314.988738726595,273.0112612733981
2648,10319.035442299706,272.9645577002869
2649,10322.782485628779,273.2175143712139
2650,10327.718461006383,272.28153899360956
2651,10332.025528019038,271.9744719809552
2652,10336.455415797418,271.5445842025743
2653,10341.405493991915,270.59450600807696
2654,10345.522401820843,270.47759817915016
2655,10347.658581996118,272.3414180038749
